train_acc,epoch,step,train_loss
0.09375,0,9,2.376828908920288
0.1015625,0,19,2.3952770233154297
0.1015625,0,29,2.3300890922546387
0.140625,0,39,2.2854790687561035
0.1796875,0,49,2.2745983600616455
